Country Name;Country Code;Indicator Name;Indicator Code;gdp2001;gini2001;nat2001
Kuwait;KWT;GDP per capita (current US$);NY.GDP.PCAP.CD;16587.24865;;23.173
Latin America & Caribbean (excluding high income);LAC;GDP per capita (current US$);NY.GDP.PCAP.CD;4024.204344;;22.95931263
Lao PDR;LAO;GDP per capita (current US$);NY.GDP.PCAP.CD;326.9417867;;33.082
Lebanon;LBN;GDP per capita (current US$);NY.GDP.PCAP.CD;4422.389292;;22.156
Liberia;LBR;GDP per capita (current US$);NY.GDP.PCAP.CD;306.7102516;;43.273
Libya;LBY;GDP per capita (current US$);NY.GDP.PCAP.CD;6266.489821;;21.982
St. Lucia;LCA;GDP per capita (current US$);NY.GDP.PCAP.CD;5642.748904;;19.787
Latin America & Caribbean;LCN;GDP per capita (current US$);NY.GDP.PCAP.CD;4244.81803;;22.71472837
Least developed countries: UN classification;LDC;GDP per capita (current US$);NY.GDP.PCAP.CD;307.7869054;;38.91943089
Low income;LIC;GDP per capita (current US$);NY.GDP.PCAP.CD;295.0154087;;42.82180172
Liechtenstein;LIE;GDP per capita (current US$);NY.GDP.PCAP.CD;74287.41337;;12.4
Sri Lanka;LKA;GDP per capita (current US$);NY.GDP.PCAP.CD;832.8035723;;18.464
Lower middle income;LMC;GDP per capita (current US$);NY.GDP.PCAP.CD;615.6781649;;27.8139946
Low & middle income;LMY;GDP per capita (current US$);NY.GDP.PCAP.CD;1173.675775;;23.99639476
Lesotho;LSO;GDP per capita (current US$);NY.GDP.PCAP.CD;405.6057121;;30.947
Late-demographic dividend;LTE;GDP per capita (current US$);NY.GDP.PCAP.CD;1707.671612;;15.21937305
Lithuania;LTU;GDP per capita (current US$);NY.GDP.PCAP.CD;3525.793632;;10.3
Luxembourg;LUX;GDP per capita (current US$);NY.GDP.PCAP.CD;48179.42085;;13
Latvia;LVA;GDP per capita (current US$);NY.GDP.PCAP.CD;3573.302729;;8.1
Macao SAR; China;MAC;GDP per capita (current US$);15835.99101;;10.356
St. Martin (French part);MAF;GDP per capita (current US$);NY.GDP.PCAP.CD;;;17.6
Morocco;MAR;GDP per capita (current US$);NY.GDP.PCAP.CD;1339.294077;;22.607
Monaco;MCO;GDP per capita (current US$);NY.GDP.PCAP.CD;83724.46591;;
